V (V),Q vs QB (V),V (V),QB vs Q (V)
960.0E-3,51.85E-9,51.85E-9,960.0E-3
962.0E-3,51.71E-9,51.71E-9,962.0E-3
964.0E-3,51.56E-9,51.56E-9,964.0E-3
966.0E-3,51.42E-9,51.42E-9,966.0E-3
968.0E-3,51.29E-9,51.29E-9,968.0E-3
970.0E-3,51.15E-9,51.15E-9,970.0E-3
972.0E-3,51.02E-9,51.02E-9,972.0E-3
974.0E-3,50.90E-9,50.90E-9,974.0E-3
976.0E-3,50.77E-9,50.77E-9,976.0E-3
978.0E-3,50.65E-9,50.65E-9,978.0E-3
980.0E-3,50.53E-9,50.53E-9,980.0E-3
982.0E-3,50.41E-9,50.41E-9,982.0E-3
984.0E-3,50.29E-9,50.29E-9,984.0E-3
986.0E-3,50.18E-9,50.18E-9,986.0E-3
988.0E-3,50.07E-9,50.07E-9,988.0E-3
990.0E-3,49.96E-9,49.96E-9,990.0E-3
992.0E-3,49.86E-9,49.86E-9,992.0E-3
994.0E-3,49.76E-9,49.76E-9,994.0E-3
996.0E-3,49.66E-9,49.66E-9,996.0E-3
998.0E-3,49.56E-9,49.56E-9,998.0E-3
1.000,49.46E-9,49.46E-9,1.000
1.002,49.37E-9,49.37E-9,1.002
1.004,49.28E-9,49.28E-9,1.004
1.006,49.19E-9,49.19E-9,1.006
1.008,49.10E-9,49.10E-9,1.008
1.010,49.01E-9,49.01E-9,1.010
1.012,48.93E-9,48.93E-9,1.012
1.014,48.85E-9,48.85E-9,1.014
1.016,48.77E-9,48.77E-9,1.016
1.018,48.70E-9,48.70E-9,1.018
1.020,48.62E-9,48.62E-9,1.020
1.022,48.55E-9,48.55E-9,1.022
1.024,48.48E-9,48.48E-9,1.024
1.026,48.41E-9,48.41E-9,1.026
1.028,48.35E-9,48.35E-9,1.028
1.030,48.28E-9,48.28E-9,1.030
1.032,48.22E-9,48.22E-9,1.032
1.034,48.16E-9,48.16E-9,1.034
1.036,48.10E-9,48.10E-9,1.036
1.038,48.04E-9,48.04E-9,1.038
1.040,47.99E-9,47.99E-9,1.040
1.042,47.94E-9,47.94E-9,1.042
1.044,47.89E-9,47.89E-9,1.044
1.046,47.84E-9,47.84E-9,1.046
1.048,47.79E-9,47.79E-9,1.048
1.050,47.74E-9,47.74E-9,1.050
1.052,47.70E-9,47.70E-9,1.052
1.054,47.66E-9,47.66E-9,1.054
1.056,47.62E-9,47.62E-9,1.056
1.058,47.58E-9,47.58E-9,1.058
1.060,47.54E-9,47.54E-9,1.060
1.062,47.51E-9,47.51E-9,1.062
1.064,47.48E-9,47.48E-9,1.064
1.066,47.45E-9,47.45E-9,1.066
1.068,47.42E-9,47.42E-9,1.068
1.070,47.39E-9,47.39E-9,1.070
1.072,47.36E-9,47.36E-9,1.072
1.074,47.34E-9,47.34E-9,1.074
1.076,47.31E-9,47.31E-9,1.076
1.078,47.29E-9,47.29E-9,1.078
1.080,47.27E-9,47.27E-9,1.080
1.082,47.25E-9,47.25E-9,1.082
1.084,47.24E-9,47.24E-9,1.084
1.086,47.22E-9,47.22E-9,1.086
1.088,47.21E-9,47.21E-9,1.088
1.090,47.20E-9,47.20E-9,1.090
1.092,47.19E-9,47.19E-9,1.092
1.094,47.18E-9,47.18E-9,1.094
1.096,47.17E-9,47.17E-9,1.096
1.098,47.16E-9,47.16E-9,1.098
1.100,47.16E-9,47.16E-9,1.100
