corner,wn_store,wp_store,wn_access,temp,vdd,leakage_power_W
tt,1.6e-07,3.2e-07,1.2e-07,125,1.05,3.36019e-10
tt,1.6e-07,3.2e-07,1.2e-07,125,1.1,3.5202e-10
tt,1.6e-07,3.2e-07,1.2e-07,125,1.15,3.68021e-10
tt,1.6e-07,3.2e-07,1.2e-07,125,1.2,3.84022e-10
tt,2e-07,1.2e-07,1.2e-07,-40,1,4.81186e-11
tt,2e-07,1.2e-07,1.2e-07,-40,1.05,5.05245e-11
tt,2e-07,1.2e-07,1.2e-07,-40,1.1,5.29305e-11
tt,2e-07,1.2e-07,1.2e-07,-40,1.15,5.53364e-11
tt,2e-07,1.2e-07,1.2e-07,-40,1.2,5.77423e-11
tt,2e-07,1.2e-07,1.2e-07,0,1,5.14238e-11
tt,2e-07,1.2e-07,1.2e-07,0,1.05,5.3995e-11
tt,2e-07,1.2e-07,1.2e-07,0,1.1,5.65662e-11
tt,2e-07,1.2e-07,1.2e-07,0,1.15,5.91373e-11
tt,2e-07,1.2e-07,1.2e-07,0,1.2,6.17085e-11
tt,2e-07,1.2e-07,1.2e-07,27,1,5.9497e-11
tt,2e-07,1.2e-07,1.2e-07,27,1.05,6.24719e-11
tt,2e-07,1.2e-07,1.2e-07,27,1.1,6.54467e-11
tt,2e-07,1.2e-07,1.2e-07,27,1.15,6.84216e-11
tt,2e-07,1.2e-07,1.2e-07,27,1.2,7.13964e-11
tt,2e-07,1.2e-07,1.2e-07,85,1,1.32019e-10
tt,2e-07,1.2e-07,1.2e-07,85,1.05,1.3862e-10
tt,2e-07,1.2e-07,1.2e-07,85,1.1,1.45221e-10
tt,2e-07,1.2e-07,1.2e-07,85,1.15,1.51822e-10
tt,2e-07,1.2e-07,1.2e-07,85,1.2,1.58423e-10
tt,2e-07,1.2e-07,1.2e-07,125,1,2.88502e-10
tt,2e-07,1.2e-07,1.2e-07,125,1.05,3.02927e-10
tt,2e-07,1.2e-07,1.2e-07,125,1.1,3.17352e-10
tt,2e-07,1.2e-07,1.2e-07,125,1.15,3.31777e-10
tt,2e-07,1.2e-07,1.2e-07,125,1.2,3.46202e-10
tt,2e-07,1.6e-07,1.2e-07,-40,1,5.42085e-11
tt,2e-07,1.6e-07,1.2e-07,-40,1.05,5.6919e-11
tt,2e-07,1.6e-07,1.2e-07,-40,1.1,5.96294e-11
tt,2e-07,1.6e-07,1.2e-07,-40,1.15,6.23398e-11
tt,2e-07,1.6e-07,1.2e-07,-40,1.2,6.50502e-11
tt,2e-07,1.6e-07,1.2e-07,0,1,5.75259e-11
tt,2e-07,1.6e-07,1.2e-07,0,1.05,6.04022e-11
tt,2e-07,1.6e-07,1.2e-07,0,1.1,6.32785e-11
tt,2e-07,1.6e-07,1.2e-07,0,1.15,6.61548e-11
tt,2e-07,1.6e-07,1.2e-07,0,1.2,6.90311e-11
tt,2e-07,1.6e-07,1.2e-07,27,1,6.55677e-11
tt,2e-07,1.6e-07,1.2e-07,27,1.05,6.88461e-11
tt,2e-07,1.6e-07,1.2e-07,27,1.1,7.21245e-11
tt,2e-07,1.6e-07,1.2e-07,27,1.15,7.54029e-11
tt,2e-07,1.6e-07,1.2e-07,27,1.2,7.86813e-11
tt,2e-07,1.6e-07,1.2e-07,85,1,1.37924e-10
tt,2e-07,1.6e-07,1.2e-07,85,1.05,1.4482e-10
tt,2e-07,1.6e-07,1.2e-07,85,1.1,1.51716e-10
tt,2e-07,1.6e-07,1.2e-07,85,1.15,1.58612e-10
tt,2e-07,1.6e-07,1.2e-07,85,1.2,1.65509e-10
tt,2e-07,1.6e-07,1.2e-07,125,1,2.948e-10
tt,2e-07,1.6e-07,1.2e-07,125,1.05,3.09541e-10
tt,2e-07,1.6e-07,1.2e-07,125,1.1,3.24281e-10
tt,2e-07,1.6e-07,1.2e-07,125,1.15,3.39021e-10
